Name,Category,Gate,Terminal,Additional Info
Pappadeaux Seafood Kitchen,American Cuisine,24,A,
T.G.I. Friday's,American Cuisine,13,A,
Ling & Louie's,Asian,13,A,
Cowtown Bar,Bar,35,A,
Vino Volo,Bar,17,A,
The Salt Lick Bar-B-Que,Barbecue,16,A,
Dunkin Donuts,Coffee,13,A,
Dunkin Donuts,Coffee,28,A,
Starbucks Coffee,Coffee,29,A,
Starbucks Coffee,Coffee,33,A,
Starbucks Coffee,Coffee,37,A,
Auntie Anne's Pretzels,Desserts & Snacks,39,A,
Grove Natural Snacks,Desserts & Snacks,39,A,
Icebox Cafe,Desserts & Snacks,14,A,
Red Mango Yogurt,Desserts & Snacks,39,A,
McDonald's,Fast Food,17,A,
Popeyes Louisiana Kitchen,Fast Food,16,A,
East Side Mario's,Italian/Pizza,38,A,
Pappasito's Cantina,Mexican/Southwest,28,A,
Qdoba,Mexican/Southwest,16,A,
"Au Bon Pain, Deli",Sandwich/Deli,38,A,
Einstein Bros. Bagels,Sandwich/Deli,9,A,
Einstein Bros. Bagels,Sandwich/Deli,11,A,
Subway,Sandwich/Deli,33,A,
Pappadeaux Seafood Kitchen,Seafood,24,A,
Travel Lounge,Power Charging,29,A,
Power & Internet,Power Charging,10,A,
Power & Internet,Power Charging,28,A,
