Name,Category,Gate,Terminal,Additional Info
Chili's Too,American Cuisine,20,B,
T.G.I. Friday's,American Cuisine,10,B,
Texas Stadium Skybox Bar & Grill,Bar,6,B,
Cousin's Bar-B-Q,Barbecue,47,B,
Dunkin Donuts,Coffee,7,B,
Starbucks Coffee,Coffee,8,B,
Starbucks Coffee,Coffee,15,B,
Starbucks Coffee,Coffee,28,B,
Freshens Smoothies and Yogurt,Desserts & Snacks,7,B,
Pizza Hut Express,Fast Food,10,B,
UFood Grill,Fast Food,8,B,
Pizza Hut Express,Italian/Pizza,10,B,
"Au Bon Pain, Deli",Sandwich/Deli,22,B,
Subway,Sandwich/Deli,16,B,
Travel Lounge,Power Charging,8,B,
Travel Lounge,Power Charging,28,B,
Power & Internet,Power Charging,10,B,
Guest Services,Power Charging,14,B,
