Name,Category,Gate,Terminal,Additional Info
Cereality,American Cuisine,6,C,
Chili's Too,American Cuisine,16,C,
T.G.I. Friday's,American Cuisine,8,C,
T.G.I. Friday's,American Cuisine,29,C,
Manchu Wok,Asian,22,C,
Texas Stadium Skybox Bar & Grill,Bar,25,C,
Dickey's Barbecue Pit,Barbecue,6,C,
Starbucks Coffee,Coffee,6,C,
Starbucks Coffee,Coffee,8,C,
Starbucks Coffee,Coffee,21,C,
Starbucks Coffee,Coffee,27,C,
Auntie Anne's Pretzels,Desserts & Snacks,12,C,
Auntie Anne's Pretzels,Desserts & Snacks,22,C,
Freshens Smoothies and Yogurt,Desserts & Snacks,6,C,
Freshens Smoothies and Yogurt,Desserts & Snacks,35,C,
Grove Natural Snacks,Desserts & Snacks,14,C,
Haagen-Dazs,Desserts & Snacks,17,C,
Red Mango Yogurt,Desserts & Snacks,22,C,
Smoothie King,Desserts & Snacks,14,C,
McDonald's,Fast Food,22,C,
McDonald's,Fast Food,6,C,
Pizza Hut Express,Fast Food,19,C,
Pizza Hut Express,Fast Food,6,C,
Taco Bell Express,Fast Food,14,C,
Wendy's,Fast Food,14,C,
Pizza Hut Express,Italian/Pizza,19,C,
Pizza Hut Express,Italian/Pizza,6,C,
Uno Due Go,Italian/Pizza,33,C,
Taco Bell Express,Mexican/Southwest,14,C,
Urban Taco,Mexican/Southwest,22,C,
"Au Bon Pain, Deli",Sandwich/Deli,33,C,
"Au Bon Pain, Deli",Sandwich/Deli,22,C,
Blimpie,Sandwich/Deli,6,C,
Boars Head Deli,Sandwich/Deli,27,C,
Travel Lounge,Power Charging,8,C,
Travel Lounge,Power Charging,27,C,
Power & Internet,Power Charging,6,C,
Power & Internet,Power Charging,20,C,
Power & Internet,Power Charging,27,C,
Power & Internet,Power Charging,35,C,
