Name,Category,Gate,Terminal,Additional Info
Bennigan's,American Cuisine,11,D,
Cool River Cafe,American Cuisine,25,D,
Fuddruckers Hamburgers,American Cuisine,18,D,
Gas Monkey Bar & Grill,American Cuisine,31,D,
III Forks Prime Steakhouse,American Cuisine,27,D,Upper Level
Reata Grill,American Cuisine,33,D,Upper Level
Sky Canyon,American Cuisine,14,D,
T.G.I. Friday's,American Cuisine,34,D,
Blue Bamboo Xpress,Asian,31,D,
Gas Monkey Bar & Grill,Bar,31,D,
Tigin Irish Pub & Restaurant,Bar,20,D,
Cousin's Bar-B-Q,Barbecue,28,D,
Railhead BBQ,Barbecue,18,D,
Dunkin Donuts,Coffee,22,D,
Starbucks Coffee,Coffee,12,D,
Starbucks Coffee,Coffee,25,D,
Starbucks Coffee,Coffee,28,D,
Starbucks Coffee,Coffee,30,D,Outside Security
Auntie Anne's Pretzels,Desserts & Snacks,12,D,
Auntie Anne's Pretzels,Desserts & Snacks,36,D,
Ben & Jerry's Ice Cream,Desserts & Snacks,12,D,
Ben & Jerry's Ice Cream,Desserts & Snacks,27,D,
Grove Soda Fountain,Desserts & Snacks,22,D,
Jamba Juice,Desserts & Snacks,27,D,
Red Mango Yogurt,Desserts & Snacks,22,D,
Smoothie King,Desserts & Snacks,22,D,
McDonald's,Fast Food,33,D,
Popeyes Louisiana Kitchen,Fast Food,22,D,
Grand Met,Grand Hyatt Dining,23,D,Outside Security
M Lounge,Grand Hyatt Dining,23,D,Outside Security
Moka,Grand Hyatt Dining,23,D,Outside Security
Pizza Vino,Mexican/Southwest,18,D,Upper Level
360 Gourmet Burritos,Mexican/Southwest,18,D,
Cantina Laredo,Mexican/Southwest,24,D,
Reata Grill,Mexican/Southwest,33,D,Upper Level
"Au Bon Pain, Deli",Sandwich/Deli,22,D,Intl Arrivals
"Au Bon Pain, Deli",Sandwich/Deli,27,D,
Einstein Bros. Bagels,Sandwich/Deli,18,D,
Cool River Cafe,Seafood,25,D,
III Forks Prime Steakhouse,Seafood,27,D,Upper Level
Power & Internet,Power Charging,21,D,
Power & Internet,Power Charging,23,D,
Power & Internet,Power Charging,30,D,
Power & Internet,Power Charging,40,D,
